Address,Longitude,Latitude
Gumanpura Police Station,25.16988312,75.85268033
Police Station Kishorepura,25.16953896,75.82971645
Police Station Dadabari,25.15823564,75.82644848
Police Station Jawahar Nagar,25.14434503,75.84238883
Police Station Nayapura,25.19437794,75.85340716
Police Station Kunhadi,25.19160323,75.83022131
Police Station Bhimganjmandi,25.22307664,75.87612966
Police Station Railway Colony,25.21049855,75.88835627
Police Station Kotwali,25.18629107,75.84235085
Police Station Kaithunipole,25.18628304,75.84235035
Police Station Makbara,25.1805725,75.83670841
Police Station Mahila Thana,25.17553092,75.84120921
Police Station Udyog Nagar,25.15268563,75.8778397
Police Station Mahavir Nagar,25.13329913,75.83578599
Police Station Vigyan Nagar,25.14980521,75.85861676
Police Station Anantpura,25.12219711,75.85703185
Police Station Borkheda,25.18185773,75.89171159
Police Station R.K.Puram,25.13496845,75.81631476
